/home/pjs/anaconda3/lib/python3.9/site-packages/torchvision/transforms/transforms.py:257: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
cuda:0
GeForce GTX 1070
[ 1/20, 200/8406] loss: 0.453
[ 1/20, 400/8406] loss: 0.410
[ 1/20, 600/8406] loss: 0.380
[ 1/20, 800/8406] loss: 0.363
[ 1/20,1000/8406] loss: 0.341
[ 1/20,1200/8406] loss: 0.325
[ 1/20,1400/8406] loss: 0.298
[ 1/20,1600/8406] loss: 0.288
[ 1/20,1800/8406] loss: 0.272
[ 1/20,2000/8406] loss: 0.249
[ 1/20,2200/8406] loss: 0.241
[ 1/20,2400/8406] loss: 0.232
[ 1/20,2600/8406] loss: 0.225
[ 1/20,2800/8406] loss: 0.205
[ 1/20,3000/8406] loss: 0.199
[ 1/20,3200/8406] loss: 0.191
[ 1/20,3400/8406] loss: 0.180
[ 1/20,3600/8406] loss: 0.174
[ 1/20,3800/8406] loss: 0.177
[ 1/20,4000/8406] loss: 0.159
[ 1/20,4200/8406] loss: 0.164
[ 1/20,4400/8406] loss: 0.162
[ 1/20,4600/8406] loss: 0.151
[ 1/20,4800/8406] loss: 0.139
[ 1/20,5000/8406] loss: 0.142
[ 1/20,5200/8406] loss: 0.142
[ 1/20,5400/8406] loss: 0.129
[ 1/20,5600/8406] loss: 0.135
[ 1/20,5800/8406] loss: 0.124
[ 1/20,6000/8406] loss: 0.133
[ 1/20,6200/8406] loss: 0.126
[ 1/20,6400/8406] loss: 0.119
[ 1/20,6600/8406] loss: 0.116
[ 1/20,6800/8406] loss: 0.118
[ 1/20,7000/8406] loss: 0.110
[ 1/20,7200/8406] loss: 0.113
[ 1/20,7400/8406] loss: 0.109
[ 1/20,7600/8406] loss: 0.106
[ 1/20,7800/8406] loss: 0.107
[ 1/20,8000/8406] loss: 0.110
[ 1/20,8200/8406] loss: 0.105
[ 1/20,8400/8406] loss: 0.103
Accuracy: 83 %
[ 2/20, 200/8406] loss: 0.086
[ 2/20, 400/8406] loss: 0.090
[ 2/20, 600/8406] loss: 0.091
[ 2/20, 800/8406] loss: 0.086
[ 2/20,1000/8406] loss: 0.086
[ 2/20,1200/8406] loss: 0.087
[ 2/20,1400/8406] loss: 0.082
[ 2/20,1600/8406] loss: 0.084
[ 2/20,1800/8406] loss: 0.080
[ 2/20,2000/8406] loss: 0.082
[ 2/20,2200/8406] loss: 0.080
[ 2/20,2400/8406] loss: 0.082
[ 2/20,2600/8406] loss: 0.083
[ 2/20,2800/8406] loss: 0.081
[ 2/20,3000/8406] loss: 0.083
[ 2/20,3200/8406] loss: 0.078
[ 2/20,3400/8406] loss: 0.073
[ 2/20,3600/8406] loss: 0.073
[ 2/20,3800/8406] loss: 0.072
[ 2/20,4000/8406] loss: 0.079
[ 2/20,4200/8406] loss: 0.074
[ 2/20,4400/8406] loss: 0.076
[ 2/20,4600/8406] loss: 0.072
[ 2/20,4800/8406] loss: 0.068
[ 2/20,5000/8406] loss: 0.072
[ 2/20,5200/8406] loss: 0.075
[ 2/20,5400/8406] loss: 0.070
[ 2/20,5600/8406] loss: 0.073
[ 2/20,5800/8406] loss: 0.068
[ 2/20,6000/8406] loss: 0.071
[ 2/20,6200/8406] loss: 0.072
[ 2/20,6400/8406] loss: 0.069
[ 2/20,6600/8406] loss: 0.073
[ 2/20,6800/8406] loss: 0.067
[ 2/20,7000/8406] loss: 0.063
[ 2/20,7200/8406] loss: 0.062
[ 2/20,7400/8406] loss: 0.070
[ 2/20,7600/8406] loss: 0.063
[ 2/20,7800/8406] loss: 0.062
[ 2/20,8000/8406] loss: 0.068
[ 2/20,8200/8406] loss: 0.067
[ 2/20,8400/8406] loss: 0.070
Accuracy: 90 %
[ 3/20, 200/8406] loss: 0.052
[ 3/20, 400/8406] loss: 0.055
[ 3/20, 600/8406] loss: 0.052
[ 3/20, 800/8406] loss: 0.049
[ 3/20,1000/8406] loss: 0.052
[ 3/20,1200/8406] loss: 0.049
[ 3/20,1400/8406] loss: 0.052
[ 3/20,1600/8406] loss: 0.058
[ 3/20,1800/8406] loss: 0.055
[ 3/20,2000/8406] loss: 0.057
[ 3/20,2200/8406] loss: 0.050
[ 3/20,2400/8406] loss: 0.047
[ 3/20,2600/8406] loss: 0.053
[ 3/20,2800/8406] loss: 0.054
[ 3/20,3000/8406] loss: 0.052
[ 3/20,3200/8406] loss: 0.050
[ 3/20,3400/8406] loss: 0.053
[ 3/20,3600/8406] loss: 0.051
[ 3/20,3800/8406] loss: 0.047
[ 3/20,4000/8406] loss: 0.051
[ 3/20,4200/8406] loss: 0.049
[ 3/20,4400/8406] loss: 0.048
[ 3/20,4600/8406] loss: 0.050
[ 3/20,4800/8406] loss: 0.057
[ 3/20,5000/8406] loss: 0.046
[ 3/20,5200/8406] loss: 0.054
[ 3/20,5400/8406] loss: 0.052
[ 3/20,5600/8406] loss: 0.043
[ 3/20,5800/8406] loss: 0.050
[ 3/20,6000/8406] loss: 0.050
[ 3/20,6200/8406] loss: 0.050
[ 3/20,6400/8406] loss: 0.051
[ 3/20,6600/8406] loss: 0.048
[ 3/20,6800/8406] loss: 0.055
[ 3/20,7000/8406] loss: 0.046
[ 3/20,7200/8406] loss: 0.048
[ 3/20,7400/8406] loss: 0.052
[ 3/20,7600/8406] loss: 0.052
[ 3/20,7800/8406] loss: 0.047
[ 3/20,8000/8406] loss: 0.049
[ 3/20,8200/8406] loss: 0.044
[ 3/20,8400/8406] loss: 0.048
Accuracy: 94 %
[ 4/20, 200/8406] loss: 0.031
[ 4/20, 400/8406] loss: 0.032
[ 4/20, 600/8406] loss: 0.038
[ 4/20, 800/8406] loss: 0.038
[ 4/20,1000/8406] loss: 0.038
[ 4/20,1200/8406] loss: 0.038
[ 4/20,1400/8406] loss: 0.039
[ 4/20,1600/8406] loss: 0.040
[ 4/20,1800/8406] loss: 0.043
[ 4/20,2000/8406] loss: 0.034
[ 4/20,2200/8406] loss: 0.039
[ 4/20,2400/8406] loss: 0.042
[ 4/20,2600/8406] loss: 0.042
[ 4/20,2800/8406] loss: 0.038
[ 4/20,3000/8406] loss: 0.041
[ 4/20,3200/8406] loss: 0.040
[ 4/20,3400/8406] loss: 0.039
[ 4/20,3600/8406] loss: 0.033
[ 4/20,3800/8406] loss: 0.038
[ 4/20,4000/8406] loss: 0.041
[ 4/20,4200/8406] loss: 0.041
[ 4/20,4400/8406] loss: 0.040
[ 4/20,4600/8406] loss: 0.041
[ 4/20,4800/8406] loss: 0.037
[ 4/20,5000/8406] loss: 0.035
[ 4/20,5200/8406] loss: 0.039
[ 4/20,5400/8406] loss: 0.040
[ 4/20,5600/8406] loss: 0.040
[ 4/20,5800/8406] loss: 0.036
[ 4/20,6000/8406] loss: 0.035
[ 4/20,6200/8406] loss: 0.039
[ 4/20,6400/8406] loss: 0.033
[ 4/20,6600/8406] loss: 0.035
[ 4/20,6800/8406] loss: 0.041
[ 4/20,7000/8406] loss: 0.039
[ 4/20,7200/8406] loss: 0.043
[ 4/20,7400/8406] loss: 0.037
[ 4/20,7600/8406] loss: 0.035
[ 4/20,7800/8406] loss: 0.035
[ 4/20,8000/8406] loss: 0.038
[ 4/20,8200/8406] loss: 0.041
[ 4/20,8400/8406] loss: 0.037
Accuracy: 92 %
[ 5/20, 200/8406] loss: 0.026
[ 5/20, 400/8406] loss: 0.026
[ 5/20, 600/8406] loss: 0.026
[ 5/20, 800/8406] loss: 0.028
[ 5/20,1000/8406] loss: 0.027
[ 5/20,1200/8406] loss: 0.030
[ 5/20,1400/8406] loss: 0.027
[ 5/20,1600/8406] loss: 0.031
[ 5/20,1800/8406] loss: 0.030
[ 5/20,2000/8406] loss: 0.031
[ 5/20,2200/8406] loss: 0.030
[ 5/20,2400/8406] loss: 0.028
[ 5/20,2600/8406] loss: 0.027
[ 5/20,2800/8406] loss: 0.028
[ 5/20,3000/8406] loss: 0.030
[ 5/20,3200/8406] loss: 0.031
[ 5/20,3400/8406] loss: 0.030
[ 5/20,3600/8406] loss: 0.031
[ 5/20,3800/8406] loss: 0.030
[ 5/20,4000/8406] loss: 0.027
[ 5/20,4200/8406] loss: 0.029
[ 5/20,4400/8406] loss: 0.039
[ 5/20,4600/8406] loss: 0.029
[ 5/20,4800/8406] loss: 0.031
[ 5/20,5000/8406] loss: 0.029
[ 5/20,5200/8406] loss: 0.031
[ 5/20,5400/8406] loss: 0.029
[ 5/20,5600/8406] loss: 0.030
[ 5/20,5800/8406] loss: 0.035
[ 5/20,6000/8406] loss: 0.031
[ 5/20,6200/8406] loss: 0.030
[ 5/20,6400/8406] loss: 0.030
[ 5/20,6600/8406] loss: 0.028
[ 5/20,6800/8406] loss: 0.031
[ 5/20,7000/8406] loss: 0.034
[ 5/20,7200/8406] loss: 0.029
[ 5/20,7400/8406] loss: 0.031
[ 5/20,7600/8406] loss: 0.026
[ 5/20,7800/8406] loss: 0.029
[ 5/20,8000/8406] loss: 0.033
[ 5/20,8200/8406] loss: 0.032
[ 5/20,8400/8406] loss: 0.031
Accuracy: 95 %
[ 6/20, 200/8406] loss: 0.016
[ 6/20, 400/8406] loss: 0.017
[ 6/20, 600/8406] loss: 0.020
[ 6/20, 800/8406] loss: 0.020
[ 6/20,1000/8406] loss: 0.021
[ 6/20,1200/8406] loss: 0.023
[ 6/20,1400/8406] loss: 0.021
[ 6/20,1600/8406] loss: 0.023
[ 6/20,1800/8406] loss: 0.019
[ 6/20,2000/8406] loss: 0.027
[ 6/20,2200/8406] loss: 0.024
[ 6/20,2400/8406] loss: 0.025
[ 6/20,2600/8406] loss: 0.022
[ 6/20,2800/8406] loss: 0.025
[ 6/20,3000/8406] loss: 0.023
[ 6/20,3200/8406] loss: 0.023
[ 6/20,3400/8406] loss: 0.024
[ 6/20,3600/8406] loss: 0.023
[ 6/20,3800/8406] loss: 0.023
[ 6/20,4000/8406] loss: 0.026
[ 6/20,4200/8406] loss: 0.025
[ 6/20,4400/8406] loss: 0.020
[ 6/20,4600/8406] loss: 0.024
[ 6/20,4800/8406] loss: 0.024
[ 6/20,5000/8406] loss: 0.024
[ 6/20,5200/8406] loss: 0.025
[ 6/20,5400/8406] loss: 0.026
[ 6/20,5600/8406] loss: 0.022
[ 6/20,5800/8406] loss: 0.027
[ 6/20,6000/8406] loss: 0.023
[ 6/20,6200/8406] loss: 0.025
[ 6/20,6400/8406] loss: 0.024
[ 6/20,6600/8406] loss: 0.029
[ 6/20,6800/8406] loss: 0.026
[ 6/20,7000/8406] loss: 0.023
[ 6/20,7200/8406] loss: 0.025
[ 6/20,7400/8406] loss: 0.023
[ 6/20,7600/8406] loss: 0.020
[ 6/20,7800/8406] loss: 0.029
[ 6/20,8000/8406] loss: 0.026
[ 6/20,8200/8406] loss: 0.026
[ 6/20,8400/8406] loss: 0.022
Accuracy: 94 %
[ 7/20, 200/8406] loss: 0.017
[ 7/20, 400/8406] loss: 0.014
[ 7/20, 600/8406] loss: 0.016
[ 7/20, 800/8406] loss: 0.015
[ 7/20,1000/8406] loss: 0.016
[ 7/20,1200/8406] loss: 0.015
[ 7/20,1400/8406] loss: 0.017
[ 7/20,1600/8406] loss: 0.016
[ 7/20,1800/8406] loss: 0.019
[ 7/20,2000/8406] loss: 0.019
[ 7/20,2200/8406] loss: 0.016
[ 7/20,2400/8406] loss: 0.016
[ 7/20,2600/8406] loss: 0.019
[ 7/20,2800/8406] loss: 0.018
[ 7/20,3000/8406] loss: 0.021
[ 7/20,3200/8406] loss: 0.018
[ 7/20,3400/8406] loss: 0.018
[ 7/20,3600/8406] loss: 0.015
[ 7/20,3800/8406] loss: 0.020
[ 7/20,4000/8406] loss: 0.019
[ 7/20,4200/8406] loss: 0.019
[ 7/20,4400/8406] loss: 0.019
[ 7/20,4600/8406] loss: 0.017
[ 7/20,4800/8406] loss: 0.019
[ 7/20,5000/8406] loss: 0.021
[ 7/20,5200/8406] loss: 0.018
[ 7/20,5400/8406] loss: 0.019
[ 7/20,5600/8406] loss: 0.020
[ 7/20,5800/8406] loss: 0.018
[ 7/20,6000/8406] loss: 0.019
[ 7/20,6200/8406] loss: 0.019
[ 7/20,6400/8406] loss: 0.019
[ 7/20,6600/8406] loss: 0.025
[ 7/20,6800/8406] loss: 0.019
[ 7/20,7000/8406] loss: 0.017
[ 7/20,7200/8406] loss: 0.021
[ 7/20,7400/8406] loss: 0.025
[ 7/20,7600/8406] loss: 0.019
[ 7/20,7800/8406] loss: 0.023
[ 7/20,8000/8406] loss: 0.022
[ 7/20,8200/8406] loss: 0.018
[ 7/20,8400/8406] loss: 0.018
Accuracy: 97 %
[ 8/20, 200/8406] loss: 0.013
[ 8/20, 400/8406] loss: 0.012
[ 8/20, 600/8406] loss: 0.013
[ 8/20, 800/8406] loss: 0.011
[ 8/20,1000/8406] loss: 0.012
[ 8/20,1200/8406] loss: 0.010
[ 8/20,1400/8406] loss: 0.014
[ 8/20,1600/8406] loss: 0.016
[ 8/20,1800/8406] loss: 0.015
[ 8/20,2000/8406] loss: 0.013
[ 8/20,2200/8406] loss: 0.015
[ 8/20,2400/8406] loss: 0.014
[ 8/20,2600/8406] loss: 0.015
[ 8/20,2800/8406] loss: 0.013
[ 8/20,3000/8406] loss: 0.014
[ 8/20,3200/8406] loss: 0.014
[ 8/20,3400/8406] loss: 0.017
[ 8/20,3600/8406] loss: 0.019
[ 8/20,3800/8406] loss: 0.015
[ 8/20,4000/8406] loss: 0.016
[ 8/20,4200/8406] loss: 0.013
[ 8/20,4400/8406] loss: 0.017
[ 8/20,4600/8406] loss: 0.017
[ 8/20,4800/8406] loss: 0.017
[ 8/20,5000/8406] loss: 0.016
[ 8/20,5200/8406] loss: 0.017
[ 8/20,5400/8406] loss: 0.019
[ 8/20,5600/8406] loss: 0.015
[ 8/20,5800/8406] loss: 0.018
[ 8/20,6000/8406] loss: 0.017
[ 8/20,6200/8406] loss: 0.018
[ 8/20,6400/8406] loss: 0.015
[ 8/20,6600/8406] loss: 0.016
[ 8/20,6800/8406] loss: 0.020
[ 8/20,7000/8406] loss: 0.016
[ 8/20,7200/8406] loss: 0.015
[ 8/20,7400/8406] loss: 0.017
[ 8/20,7600/8406] loss: 0.016
[ 8/20,7800/8406] loss: 0.016
[ 8/20,8000/8406] loss: 0.015
